Date,Time,Temp (°F),Pressure (mb),Temp 10m (°F),Temp 2m (°F)
11/4/24,2100,51.4,1022.7,53,50.3
11/4/24,2055,51.4,1022.7,53.3,50.4
11/4/24,2050,51.6,1022.7,53.8,50.8
11/4/24,2045,52,1022.7,53.8,51.3
11/4/24,2040,52.3,1022.7,53.5,50.8
11/4/24,2035,52.9,1022.7,55,51.5
11/4/24,2030,52.7,1022.7,54.8,51.6
11/4/24,2025,52.6,1022.6,54.5,51.9
11/4/24,2020,52.7,1022.6,54.6,51.7
11/4/24,2015,53.3,1022.6,54.6,52
11/4/24,2010,53.7,1022.6,55.2,52.8
11/4/24,2005,53.5,1022.7,55.6,52.7
11/4/24,2000,53.4,1022.6,55,52.2
11/4/24,1955,53.8,1022.5,55.2,52.6
11/4/24,1950,53.6,1022.4,55.4,52.6
11/4/24,1945,54.5,1022.4,56,53
11/4/24,1940,55.1,1022.4,56.9,53.8
11/4/24,1935,55.5,1022.4,56.9,54.4
11/4/24,1930,55.5,1022.5,57,54.5
11/4/24,1925,55.9,1022.5,57,54.3
11/4/24,1920,56.2,1022.5,56.8,54.3
11/4/24,1915,56.7,1022.4,57.2,54.3
11/4/24,1910,57.8,1022.2,58.3,56.5
11/4/24,1905,58.1,1022.1,58.5,56.9
11/4/24,1900,57.9,1022.1,59.5,57.2
11/4/24,1855,57.4,1022,60.1,56.5
11/4/24,1850,57.3,1022,60.4,56.4
11/4/24,1845,56.9,1022,60.2,55.8
11/4/24,1840,56.8,1022,59.7,55.4
11/4/24,1835,57,1022.1,59.8,55
11/4/24,1830,57.4,1022,60.2,55.4
11/4/24,1825,57.5,1021.9,59.7,56.1
11/4/24,1820,58.6,1021.9,60.4,56.6
11/4/24,1815,59.6,1021.8,61.2,57.6
11/4/24,1810,59.1,1021.7,61.7,58.7
11/4/24,1805,58.6,1021.7,62,57.8
11/4/24,1800,59,1021.7,61.9,57.6
11/4/24,1755,60.4,1021.6,63.6,57.8
11/4/24,1750,61.3,1021.6,63,58.4
11/4/24,1745,62.5,1021.6,64.6,60.1
11/4/24,1740,62.3,1021.5,65.6,60.3
11/4/24,1735,62.6,1021.6,65.9,60.4
11/4/24,1730,63.1,1021.4,66.4,60.9
11/4/24,1725,64.2,1021.3,67,62.4
11/4/24,1720,64.6,1021.2,66.9,62.2
11/4/24,1715,64.8,1021.1,67.3,62.7
11/4/24,1710,65,1021,68,63.9
11/4/24,1705,66,1020.9,68.7,63.9
11/4/24,1700,66.9,1020.9,69.4,64.2
11/4/24,1655,68.6,1021,70.1,65.2
11/4/24,1650,70.9,1020.9,71.1,68.1
11/4/24,1645,71.4,1020.9,71.3,69
11/4/24,1640,71.7,1021.1,71.2,69.3
11/4/24,1635,71.9,1021.1,71.4,69.5
11/4/24,1630,72,1021.2,71.4,69.7
11/4/24,1625,71.9,1021.1,71.6,69.8
11/4/24,1620,72,1021,71.6,70
11/4/24,1615,72.3,1021,71.9,71
11/4/24,1610,72.4,1020.9,71.9,71.2
11/4/24,1605,72.3,1020.8,71.9,71.7
11/4/24,1600,72.3,1021,72,71.8
11/4/24,1555,72.5,1021,71.9,72.2
11/4/24,1550,72.7,1021,72.2,72.8
11/4/24,1545,72.6,1021.2,72,72.5
11/4/24,1540,72.6,1021.4,71.9,72.8
11/4/24,1535,72.6,1021.4,71.9,72.8
11/4/24,1530,72.6,1021.4,71.9,73
11/4/24,1525,72.3,1021.5,71.7,73
11/4/24,1520,72.4,1021.5,71.6,72.9
11/4/24,1515,72.3,1021.5,71.6,73.1
11/4/24,1510,72.4,1021.5,71.7,73.6
11/4/24,1505,72.2,1021.6,71.6,73.4
11/4/24,1500,72.2,1021.6,71.3,72.9
11/4/24,1455,72.4,1021.7,71.4,72.9
11/4/24,1450,72.4,1021.6,71.6,73.5
11/4/24,1445,72.4,1021.6,71.7,73.7
11/4/24,1440,72.7,1021.6,71.8,73.9
11/4/24,1435,72.9,1021.7,72,74
11/4/24,1430,72.9,1021.8,72.1,74
11/4/24,1425,72.9,1021.8,71.9,73.9
11/4/24,1420,72.9,1021.9,72.1,74.5
11/4/24,1415,72.7,1021.7,71.9,74.5
11/4/24,1410,73,1021.7,72,74.3
11/4/24,1405,73.2,1021.8,72.2,74.5
11/4/24,1400,73.2,1021.8,72.4,75.3
11/4/24,1355,72.9,1021.8,72,75.1
11/4/24,1350,72.8,1021.8,72,75.3
11/4/24,1345,72.6,1021.5,71.4,74.6
11/4/24,1340,72.7,1021.5,71.5,75.1
11/4/24,1335,72.5,1021.6,71.3,74.9
11/4/24,1330,72.4,1021.5,71.1,74.8
11/4/24,1325,72.2,1021.5,71.1,74.4
11/4/24,1320,72.2,1021.6,70.7,74.2
11/4/24,1315,72.8,1021.6,70.4,73.7
11/4/24,1310,72.5,1021.7,70.2,74.4
11/4/24,1305,72.3,1021.8,70.2,74.2
11/4/24,1300,71.9,1022,70.7,74.3
11/4/24,1255,71.9,1022.1,70.5,74.7
11/4/24,1250,72.1,1022.3,70.9,74.7
11/4/24,1245,71.7,1022.3,70.8,73.8
11/4/24,1240,71.3,1022.3,70,73.7
11/4/24,1235,71.1,1022.4,69.7,72.9
11/4/24,1230,71,1022.4,69.7,73.5
11/4/24,1225,70.9,1022.4,69.9,74
11/4/24,1220,71,1022.5,69.8,73.4
11/4/24,1215,71.8,1022.6,69.7,72.4
11/4/24,1210,71.1,1022.6,69,72
11/4/24,1205,70.6,1022.7,68.8,72.6
11/4/24,1200,70.8,1022.9,68.7,72.4
11/4/24,1155,71.3,1023.1,68.3,71.8
11/4/24,1150,70.1,1023.1,68.8,71.5
11/4/24,1145,69.6,1023.1,68.5,72.3
11/4/24,1140,70.5,1023.3,68.4,71.5
11/4/24,1135,70.4,1023.4,68,70.2
11/4/24,1130,70.2,1023.4,67.5,69.9
11/4/24,1125,70.8,1023.5,67.7,70.2
11/4/24,1120,70.8,1023.5,67.8,70.2
11/4/24,1115,69.8,1023.7,66.9,69.5
11/4/24,1110,68.9,1023.8,67,69.6
11/4/24,1105,68.5,1023.9,66.6,69
11/4/24,1100,67.6,1024,66.5,69
11/4/24,1055,67.4,1024.1,66.3,69
11/4/24,1050,67.4,1024.2,66,69.5
11/4/24,1045,68.7,1024.3,66.2,68.6
11/4/24,1040,69.2,1024.5,65.6,68.4
11/4/24,1035,69.1,1024.5,65.8,67.8
11/4/24,1030,68.4,1024.7,65.4,67
11/4/24,1025,67.6,1024.8,65.2,66.5
11/4/24,1020,67.4,1024.9,65.4,66.4
11/4/24,1015,67,1024.9,65.5,66.5
11/4/24,1010,66.9,1024.9,65.1,66.4
11/4/24,1005,67.8,1024.9,64.7,65.8
11/4/24,1000,67.3,1024.9,64.6,65.6
11/4/24,0955,67.2,1025,64.7,65.8
11/4/24,0950,65.6,1025.1,64.3,65.7
11/4/24,0945,64.6,1025.2,64,64.9
11/4/24,0940,64.2,1025.3,64,64.1
11/4/24,0935,63.9,1025.4,63.2,63.4
11/4/24,0930,63.8,1025.4,63,62.8
11/4/24,0925,63.6,1025.4,62.7,62.2
11/4/24,0920,63,1025.3,62.6,61.6
11/4/24,0915,62.6,1025.4,62.3,60.5
11/4/24,0910,62.3,1025.4,62,59.7
11/4/24,0905,62,1025.4,61.9,59.4
11/4/24,0900,61.4,1025.4,61.8,59.4
11/4/24,0855,60.5,1025.4,61.1,58.3
11/4/24,0850,59.5,1025.4,60.2,57.4
11/4/24,0845,58.4,1025.4,59,56.8
11/4/24,0840,57.5,1025.4,58.1,55.7
11/4/24,0835,56.7,1025.4,57.4,55
11/4/24,0830,55.9,1025.4,56.7,54.5
11/4/24,0825,55,1025.5,56.2,53.3
11/4/24,0820,53.9,1025.5,55.2,52.8
11/4/24,0815,53,1025.5,54.3,51.7
11/4/24,0810,52.4,1025.5,53.5,51
11/4/24,0805,51.9,1025.5,53.1,50.3
11/4/24,0800,51.2,1025.4,52.4,49.8
11/4/24,0755,50.7,1025.4,51.8,49
11/4/24,0750,49.9,1025.4,51.3,48.7
11/4/24,0745,49.2,1025.4,50.4,47.6
11/4/24,0740,48.8,1025.5,49.9,47.3
11/4/24,0735,48.6,1025.4,49.4,47.3
11/4/24,0730,48,1025.2,48.7,46.7
11/4/24,0725,47.2,1025.3,48.1,46.1
11/4/24,0720,46.3,1025.2,47.3,45.3
11/4/24,0715,45.9,1025.1,47,45.2
11/4/24,0710,45.3,1025.1,46.7,44.8
11/4/24,0705,44.5,1025.2,45.7,43.8
11/4/24,0700,44.5,1025.1,45.3,43.5
11/4/24,0655,44.9,1025.1,45.6,43.9
11/4/24,0650,44.5,1025.1,45.6,43.6
11/4/24,0645,44.7,1024.9,45.7,43.1
11/4/24,0640,44.5,1024.8,46.2,43.4
11/4/24,0635,44.5,1024.6,45.7,42.8
11/4/24,0630,44.8,1024.6,46.3,43.8
11/4/24,0625,44,1024.6,46.1,43.4
11/4/24,0620,43.6,1024.5,45.3,42.6
11/4/24,0615,44.5,1024.5,46.6,43.5
11/4/24,0610,44.6,1024.4,47.8,43.8
11/4/24,0605,44.8,1024.6,46.6,43.1
11/4/24,0600,45.2,1024.6,46.7,43.6
11/4/24,0555,45.4,1024.5,47.7,44.6
11/4/24,0550,45.3,1024.5,47.3,43.9
11/4/24,0545,44.8,1024.4,47.7,44.2
11/4/24,0540,44.5,1024.3,47.8,43.5
11/4/24,0535,44.9,1024.3,48.2,42.8
11/4/24,0530,45.5,1024.3,48.8,43.7
11/4/24,0525,45.5,1024.2,48.9,44.4
11/4/24,0520,45.2,1024.1,49.6,44.2
11/4/24,0515,45,1024.1,49.1,44.3
11/4/24,0510,44.9,1024.1,48.1,43.5
11/4/24,0505,45.2,1024.1,49.7,44.4
11/4/24,0500,45.3,1024,49.3,44.9
11/4/24,0455,45,1024,48.6,44.6
11/4/24,0450,44.8,1024,49.1,44.6
11/4/24,0445,44.8,1023.9,49,44.5
11/4/24,0440,45.1,1023.9,48.8,44.6
11/4/24,0435,45,1023.8,48.2,44.5
11/4/24,0430,44.7,1023.8,47.4,44
11/4/24,0425,45,1023.8,47.8,44.2
11/4/24,0420,45.1,1023.7,48,44.2
11/4/24,0415,45,1023.6,47.9,44.3
11/4/24,0410,45,1023.5,47.3,44.1
11/4/24,0405,45.1,1023.6,47.9,44.5
11/4/24,0400,44.8,1023.5,47.9,44.2
11/4/24,0355,45,1023.4,48,43.5
11/4/24,0350,45.5,1023.3,48.5,44.3
11/4/24,0345,45.2,1023.3,49.6,44.3
11/4/24,0340,45.8,1023.4,51.1,44.9
11/4/24,0335,46.3,1023.4,52.9,45.2
11/4/24,0330,46.7,1023.4,53.7,46.2
11/4/24,0325,46.7,1023.4,53.4,46.2
11/4/24,0320,46.6,1023.4,53.6,46.3
11/4/24,0315,47.3,1023.4,53.1,46
11/4/24,0310,48.2,1023.3,55.8,47.8
11/4/24,0305,47.8,1023.3,55.5,47.6
11/4/24,0300,47.8,1023.4,55.6,47.7
11/4/24,0255,47.5,1023.4,55.2,47.6
11/4/24,0250,46.8,1023.4,54.3,46.4
11/4/24,0245,47.4,1023.4,53,46.4
11/4/24,0240,48.3,1023.5,53.7,47.7
11/4/24,0235,48.2,1023.5,52.9,47.3
11/4/24,0230,48.4,1023.5,53.6,48.2
11/4/24,0225,47.3,1023.4,53,47.4
11/4/24,0220,46.3,1023.4,51.1,46.1
11/4/24,0215,46.5,1023.4,49.1,45.2
11/4/24,0210,47.2,1023.5,50.9,46.1
11/4/24,0205,47.5,1023.3,51.9,46.4
11/4/24,0200,47.5,1023.4,51.3,46.7
11/4/24,0155,47.4,1023.3,50.1,46.6
11/4/24,0150,47.1,1023.3,50.4,45.9
11/4/24,0145,47.7,1023.3,50.3,46.5
11/4/24,0140,48.3,1023.3,51.5,47.3
11/4/24,0135,48.9,1023.1,50.9,47.3
11/4/24,0130,49.8,1023.2,52,48.7
11/4/24,0125,49,1023.1,52,48.3
11/4/24,0120,48.7,1023.1,51.9,47.7
11/4/24,0115,49,1023,52.1,48.2
11/4/24,0110,48.8,1023.1,53.1,48.4
11/4/24,0105,49.1,1023,53.6,48.4
11/4/24,0100,49.5,1022.9,54.3,48.2
11/4/24,0055,50,1023,56.6,49
11/4/24,0050,50.3,1022.9,57.1,48.9
11/4/24,0045,50.6,1022.9,56.8,49.3
11/4/24,0040,50.5,1022.9,57.4,49.2
11/4/24,0035,51.7,1022.9,56.5,49.9
11/4/24,0030,52,1022.9,56,50.4
11/4/24,0025,52.4,1023,57.2,51.1
11/4/24,0020,52,1022.9,58,51.4
11/4/24,0015,50.7,1022.8,56.8,49.4
11/4/24,0010,51.4,1022.9,55.8,49.8
11/4/24,0005,50.9,1022.9,56.4,50.3
11/4/24,0000,50.9,1022.8,56.8,49.8
11/3/24,2355,50.8,1022.7,57.1,49.9
11/3/24,2350,50.4,1022.7,57.6,49.1
11/3/24,2345,51.4,1022.7,57.3,49.2
11/3/24,2340,52.4,1022.7,57.5,51.6
11/3/24,2335,51.6,1022.7,57.3,51.5
11/3/24,2330,50.6,1022.7,57,50.6
11/3/24,2325,50.2,1022.7,57.9,50.3
11/3/24,2320,49.2,1022.8,57,48.9
11/3/24,2315,49.5,1022.7,55.3,48.2
11/3/24,2310,50.2,1022.7,54.8,48.9
11/3/24,2305,50.1,1022.7,54.3,49.2
11/3/24,2300,49.9,1022.6,53,48.9
11/3/24,2255,49.5,1022.5,53.9,49
11/3/24,2250,49.4,1022.5,52.7,48.2
11/3/24,2245,49.8,1022.6,52.9,48.4
11/3/24,2240,50.1,1022.5,53.8,49.7
11/3/24,2235,50,1022.6,53.6,49
11/3/24,2230,50,1022.5,52.9,48.8
11/3/24,2225,49.6,1022.5,53.1,48.8
11/3/24,2220,49.7,1022.5,53.3,48.5
11/3/24,2215,49.8,1022.5,53,48.5
11/3/24,2210,50,1022.5,53.4,48.7
11/3/24,2205,50.2,1022.3,53.6,49.1
11/3/24,2200,51.1,1022.2,53.7,49.7
11/3/24,2155,52.4,1022.2,54.6,51
11/3/24,2150,53.2,1022.2,56.8,52.6
11/3/24,2145,52.8,1022.2,57.2,52.2
11/3/24,2140,53.4,1022.1,58,51.8
11/3/24,2135,54.7,1022.1,58.4,53
11/3/24,2130,55.7,1022.1,58.8,53.7
11/3/24,2125,56.8,1022.1,59,55.2
11/3/24,2120,57,1021.9,59.2,55.3
11/3/24,2115,56.3,1021.8,59.3,54.8
11/3/24,2110,54.6,1021.9,59.1,53.3
